id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
27763,Kaapikada,No,No,3.8,33,Kammanahalli,Quick Bites,"Biryani, Appam, Chicken Curry","Kerala, Fast Food, Beverages",250.0,Dine-out
27769,Chickpet Donne Biryani House,Yes,No,3.8,189,Kammanahalli,Quick Bites,"Mutton Biryani, Donne Biryani, Mutton Fry, Chicken Guntur, Chicken Biryani",Biryani,250.0,Dine-out
27772,Just Shawarma,Yes,No,3.7,119,Kammanahalli,Quick Bites,"Malgoum Shawarma, French Fries","Arabian, Fast Food",300.0,Dine-out
27779,Gold Line Breadz,No,No,3.7,54,Kammanahalli,"Bakery, Quick Bites","Sandwiches, Sausage Roll, Garlic Bread","Bakery, Fast Food, Desserts",350.0,Dine-out
27790,Pathaan Sir,Yes,No,3.7,59,Kammanahalli,Quick Bites,"Rolls, French Fries, Paratha","Rolls, Chinese",300.0,Dine-out
27799,Le Roll Cafe,Yes,No,3.9,57,Kammanahalli,Quick Bites,"Shawarma, Rolls","Fast Food, Beverages, Rolls",300.0,Dine-out
27830,Sannidhi Grand,Yes,No,3.8,52,Kammanahalli,Quick Bites,"Coffee, Roti, Masala Dosa","South Indian, North Indian, Chinese, Street Food",300.0,Dine-out
27855,Sri Durga Nellore Mess,Yes,No,3.4,356,Banaswadi,Mess,"Chicken Fry, Masala Prawn","Andhra, South Indian, Biryani",350.0,Dine-out
27881,The Filter Coffee,No,No,4.0,55,Banaswadi,Mess,"Filter Coffee, Masala Dosa, Vada","South Indian, Coffee",200.0,Dine-out
28023,Mavalli Tiffin Room (MTR),No,No,4.1,208,Kalyan Nagar,Quick Bites,"Coffee, Rava Idli, Kesari Bath, Rava Masala Dosa, Thali, Badam Halwa, Vada",South Indian,250.0,Dine-out
28027,Donne Biriyani Mane,No,No,3.8,164,Banaswadi,Quick Bites,"Pepper Chicken, Donne Biryani, Chicken Biryani, Chicken Kebab",Biryani,300.0,Dine-out
28038,Despiwich Dragon's Kitchen,Yes,No,3.8,72,Banaswadi,Quick Bites,"Sandwiches, Sandwich, Oreo Shake, French Fries","Chinese, Fast Food",250.0,Dine-out
28043,Donne Biryani Kuteera,Yes,No,3.8,301,Banaswadi,Quick Bites,"Donne Biryani, Pepper Chicken",Biryani,200.0,Dine-out
28044,Matru Sagar,Yes,No,4.0,332,Kalyan Nagar,Quick Bites,"Vada, Butter Masala Dosa, Coffee","South Indian, North Indian, Chinese",300.0,Dine-out
28055,Upsouth,Yes,No,3.8,59,Banaswadi,Food Court,"Filter Coffee, Sandwich, Bonda, Vada, Masala Dosa, Salad, Aloo Curry",South Indian,300.0,Dine-out
28060,Srinidhi Veg Food Court,Yes,No,3.9,100,Kalyan Nagar,Quick Bites,"Filter Coffee, Onion Rava Masala Dosa, Tea, Chole Bhature, Roti, Noodles, Vada","Chinese, North Indian, South Indian",300.0,Dine-out
28068,Cafe Nukkad,Yes,No,4.0,91,Kalyan Nagar,Quick Bites,"Chicken Cheese Sandwich, Cheese Sandwiches, Chocolate Sandwich, Chocolate Sandwiches, French Fries, Teriyaki Chicken",Fast Food,200.0,Dine-out
28076,29 Degrees North,Yes,No,3.9,287,Banaswadi,Quick Bites,"Chaat, Paratha, Vada Pav, Dal Makhani, Paneer Bhurji, Rabri, Kulcha","North Indian, Fast Food, Street Food",250.0,Dine-out
28109,New Udupi Upahara,No,No,3.7,85,Kalyan Nagar,Quick Bites,"Panneer Butter Masala, Vada, Filter Coffee, Tandoori Roti","Chinese, North Indian, South Indian",200.0,Dine-out
28202,Sanky's Burger House,Yes,No,4.3,345,Hennur,Quick Bites,"Burgers, Fried Cheese, Cheesy Fries, Oreo Shake, Pulled Beef Burger, Beef Patty, Cheese Balls","Burger, Fast Food",300.0,Dine-out
28327,Barista,No,No,3.6,36,Koramangala 4th Block,Cafe,"Cappuccino, Sandwich",Cafe,300.0,Cafes
